from,to,weight
*CCN(C)C,*CC,54
*CCN(C)C,*CC,54
*CCN(C)C,*CCCN(C)C,37
*CCN(C)C,*CCNC,26
*c1nccs1,*c1ccccn1,92
*c1nccs1,*c1ccccn1,92
*c1ccc(Br)cc1,*c1ccc(Cl)cc1,164
*c1ccc(Br)cc1,*c1ccc(Cl)cc1,164
*Cc1ccncc1,*Cc1ccccc1,95
*Cc1ccncc1,*Cc1ccccc1,95
*OCCOC,*OC,120
*OCCOC,*OC,120
*CCCCCC,*CCCC,119
*CCCCCC,*CCCC,119
*C1CCOCC1,*C1CCCCC1,112
*C1CCOCC1,*C1CCCCC1,112
*C1CCOCC1,*C1CCOC1,50
*C1CCOCC1,*C1CCN(C(C)=O)CC1,27
*c1ncccn1,*c1ccccn1,83
*c1ncccn1,*c1ccccn1,83
*NCC,*NC,108
*NCC,*NC,108
*c1cn[nH]c1,*c1cnn(C)c1,72
*c1cn[nH]c1,*c1cnn(C)c1,72
*c1ccoc1,*c1ccco1,101
*c1ccoc1,*c1ccco1,101
*Cn1ccnc1,*O,59
*Cn1ccnc1,*O,59
*c1ccc(C(=O)O)cc1,*c1cccc(C(=O)O)c1,63
*c1ccsc1,*c1cccs1,165
*c1ccsc1,*c1cccs1,165
*B(O)O,*F,60
*B(O)O,*F,60
*OCC(=O)O,*OC,117
*OCC(=O)O,*OC,117
*C=C,*CC,156
*C=C,*CC,156
*C(=O)N1CCCCC1,*C(=O)N1CCOCC1,53
*C(=O)N1CCCCC1,*C(=O)N1CCOCC1,53
*C=Cc1ccccc1,*CCc1ccccc1,59
*C=Cc1ccccc1,*CCc1ccccc1,59
*Cc1ccc(F)cc1,*Cc1ccccc1,148
*Cc1ccc(F)cc1,*Cc1ccccc1,148
*OCCO,*OC,101
*OCCO,*OC,101
*OCCN(C)C,*OC,77
*OCCN(C)C,*OC,77
*c1ccc(N)cc1,*c1ccc(OC)cc1,62
*c1ccc(N)cc1,*c1ccc(OC)cc1,62
*c1ccccc1C,*c1ccccc1Cl,154
*c1ccccc1C,*c1ccccc1Cl,154
*c1ccc(C(F)(F)F)cc1,*c1ccc(OC)cc1,181
*c1ccc(C(F)(F)F)cc1,*c1ccc(OC)cc1,181
*c1ccc(C(F)(F)F)cc1,*c1cccc(C(F)(F)F)c1,124
*c1ccc(C(F)(F)F)cc1,*c1ccc(OC(F)(F)F)cc1,73
*c1ccc(C(F)(F)F)cc1,*c1ccc(C(C)(C)C)cc1,49
*c1ccc(C(F)(F)F)cc1,*c1ccc(C(F)(F)F)nc1,33
*N(CC)CC,*N(C)C,127
*N(CC)CC,*N(C)C,127
*C(=O)NC1CCCCC1,*C(=O)Nc1ccccc1,38
*C(=O)NC1CCCCC1,*C(=O)Nc1ccccc1,38
*C(=O)NC1CCCCC1,*C(=O)NC1CCCC1,26
*c1nc2ccccc2s1,*c1nc2ccccc2o1,52
*c1nc2ccccc2s1,*c1nc2ccccc2[nH]1,32
*CC1CC1,*CC,117
*CC1CC1,*CC,117
*C1CCN(C)CC1,*C1CCNCC1,59
*C1CCN(C)CC1,*C1CCNCC1,59
*c1cccc(C(F)(F)F)c1,*c1ccc(C(F)(F)F)cc1,124
*c1cccc(C(F)(F)F)c1,*c1ccc(C(F)(F)F)cc1,124
*c1cccc(C(F)(F)F)c1,*c1cccc(OC(F)(F)F)c1,44
*CN(CC)CC,*CN1CCCC1,52
*c1nc2ccccc2[nH]1,*c1nc2ccccc2s1,32
*C(=O)NC(C)C,*C(=O)NC,44
*C(=O)NC(C)C,*C(=O)NC,44
*C(=O)NC(C)C,*C(=O)NCCC,31
*C(=O)NC(C)C,*C(=O)NC(C)(C)C,27
*NCCO,*N,63
*NCCO,*N,63
*NCCO,*NCCCO,29
*C(=O)NCCO,*C(=O)O,33
*C(=O)NCCO,*C(=O)O,33
*c1ccc2c(c1)OCCO2,*c1ccc2c(c1)OCO2,62
*c1cc2ccccc2s1,*c1ccc2ccccc2c1,43
*c1cc2ccccc2s1,*c1ccc2ccccc2c1,43
*c1cc2ccccc2s1,*c1cc2ccccc2o1,39
*c1cc2ccccc2s1,*c1cc2ccccc2[nH]1,19
*CCCc1ccccc1,*CCc1ccccc1,131
*CCCc1ccccc1,*CCc1ccccc1,131
*C(=O)N1CCCC1,*C(=O)N1CCOCC1,52
*C(=O)N1CCCC1,*C(=O)N1CCOCC1,52
*CN1CCN(C)CC1,*CN1CCOCC1,85
*CN1CCN(C)CC1,*CN1CCNCC1,25
*c1cccc(C(=O)O)c1,*c1ccc(C(=O)O)cc1,63
*C(=O)NCC,*C(=O)NC,67
*C(=O)NCC,*C(=O)NC,67
*OCCN1CCOCC1,*OC,68
*OCCN1CCOCC1,*OC,68
*CCN1CCOCC1,*CCN1CCCCC1,43
*c1c[nH]c2ccccc12,*c1ccc(O)cc1,54
*c1c[nH]c2ccccc12,*c1ccc(O)cc1,54
*c1cnc2ccccc2c1,*c1cccnc1,36
*c1cnc2ccccc2c1,*c1cccnc1,36
*OCCCN(C)C,*OC,51
*OCCCN(C)C,*OC,51
*Cc1cccnc1,*Cc1ccccc1,112
*Cc1cccnc1,*Cc1ccccc1,112
*c1ccccc1O,*c1ccc(O)cc1,58
*c1ccccc1O,*c1ccc(O)cc1,58
*C1CCC1,*C1CC1,168
*C1CCC1,*C1CC1,168
*C(=N)N,*OC,100
*C(=N)N,*OC,100
*c1cc2ccccc2o1,*c1cc2ccccc2s1,39
*c1cc2ccccc2o1,*c1cc2ccccc2s1,39
*Cc1ccc(OC)cc1,*Cc1ccccc1,158
*Cc1ccc(OC)cc1,*Cc1ccccc1,158
*Cc1ccccn1,*Cc1ccccc1,105
*Cc1ccccn1,*Cc1ccccc1,105
*CC#N,*CC,49
*CC#N,*CC,49
*c1ccc(Cl)c(Cl)c1,*c1ccc(Cl)cc1,121
*c1ccc(Cl)c(Cl)c1,*c1ccc(Cl)cc1,121
*c1ccc(N(C)C)cc1,*c1ccc(OC)cc1,62
*c1ccc(N(C)C)cc1,*c1ccc(OC)cc1,62
*S(=O)(=O)c1ccccc1,*C(=O)c1ccccc1,55
*S(=O)(=O)c1ccccc1,*C(=O)c1ccccc1,55
*S(=O)(=O)c1ccccc1,*S(=O)(=O)c1ccc(Cl)cc1,31
*CNC(C)=O,*CO,36
*CNC(C)=O,*CO,36
*S,*O,77
*S,*O,77
*NCCc1ccccc1,*NCc1ccccc1,62
*NCCc1ccccc1,*NCc1ccccc1,62
*OCCN1CCCC1,*OC,51
*OCCN1CCCC1,*OC,51
*CCOC,*CC,110
*CCOC,*CC,110
*CCOC,*CC1CCCO1,23
*c1ccc(OC)c(OC)c1,*c1ccc(OC)cc1,103
*c1ccc(OC)c(OC)c1,*c1ccc(OC)cc1,103
*C(C)O,*CO,75
*C(C)O,*CO,75
*c1ccc([N+](=O)[O-])cc1,*c1ccc(OC)cc1,134
*c1ccc([N+](=O)[O-])cc1,*c1ccc(OC)cc1,134
*c1cccc([N+](=O)[O-])c1,*c1ccc(Cl)cc1,74
*c1cccc([N+](=O)[O-])c1,*c1ccc(Cl)cc1,74
*C#Cc1ccccc1,*Cl,37
*C#Cc1ccccc1,*Cl,37
*C(=O)Nc1cccnc1,*O,27
*C(=O)Nc1cccnc1,*O,27
*C(=O)Nc1cccnc1,*C(=O)Nc1ccncc1,20
*OCCN1CCCCC1,*OC,38
*OCCN1CCCCC1,*OC,38
*CNC,*CN(C)C,63
*CNC,*CN(C)C,63
*c1ccc(S(N)(=O)=O)cc1,*c1ccc(F)cc1,27
*c1ccc(S(N)(=O)=O)cc1,*c1ccc(F)cc1,27
